datetime,quantity,price,product
1549944751,0.01,394278.420,5
1549944754,-0.01,394331.000,5
1549944761,-0.0068,394412.929,5
1549944774,0.01,394374.000,5
1549944780,-0.001,394414.939,5
1549944780,-0.0022,394414.939,5
1549944783,-0.01,394581.000,5
1549944981,0.01,394594.000,5
1549944988,-0.009,394681.260,5
1549945353,-0.001,394682.830,5
1549945354,0.01,394683.060,5
1549945358,-0.01,394545.900,5
1549945386,0.01,394501.000,5
1549945392,0.01,394683.170,5
1549945534,-0.01,394664.620,5
1549945554,0.01,394745.000,5
1549945576,-0.01,394813.260,5
1549945593,-0.01,394681.000,5
1549945597,0.01,394747.070,5
1549945603,-0.01,394790.800,5
1549945613,0.01,394737.000,5
1549945639,-0.01,394705.000,5
1549945733,0.01,394717.290,5
1549945733,-0.01,394738.979,5
1549945835,0.01,394676.760,5
1549945846,0.01,394692.910,5
1549946453,-0.01,394725.220,5
1549946455,-0.01,394553.650,5
1549946457,0.01,394557.650,5
1549946539,0.01,394692.020,5
1549946541,-0.01,394802.040,5
1549946570,0.01,394743.820,5
1549946572,-0.01,394773.000,5
1549946604,-0.01,394689.000,5
1549946606,0.01,394660.465,5
1549946747,0.01,394612.860,5
1549946773,-0.01,394670.640,5
1549946950,0.01,394605.660,5
1549946954,-0.01,394662.049,5
1549946954,-0.01,393971.440,5
1549946955,0.01,393954.220,5
1549946957,0.01,394130.370,5
1549946958,-0.01,394188.000,5
1549946975,-0.01,394127.000,5
1549946976,0.01,394128.000,5
1549946985,0.01,394075.090,5
1549947002,-0.01,394013.990,5
1549947002,-0.01,394127.559,5
1549947586,0.005,394099.490,5
1549947590,0.005,394099.490,5
1549947676,-0.01,394388.000,5
1549947676,0.01,394391.830,5
1549947676,-0.01,394194.800,5
1549947900,0.01,394162.440,5
1549947908,0.0089,394223.820,5
1549948087,0.0011,394165.730,5
1549948088,-0.01,394216.000,5
1549948101,-0.01,394195.940,5
1549948103,0.01,394084.000,5
1549948292,-0.00448242,394224.000,5
1549948294,-0.0038631,394224.000,5
1549948932,-0.00165448,394224.000,5
1549948940,0.01,394233.000,5
1549948961,0.01,394467.400,5
1549948961,-0.01,394466.000,5
1549948970,0.01,394474.730,5
1549948970,-0.01,394508.710,5
1549948972,-0.01,394578.480,5
1549948976,0.01,394610.530,5
1549948978,0.01,394668.963,5
1549948978,-0.01,394772.280,5
1549949018,0.009,394533.000,5
1549949019,0.001,394516.280,5
1549949138,-0.01,394524.280,5
1549949138,-0.01,394559.990,5
1549949146,0.01,394533.770,5
1549949147,0.01,394521.380,5
1549949153,-0.01,394572.850,5
1549949177,0.01,394401.270,5
1549949224,-0.01,394420.000,5
1549949225,0.01,394373.000,5
1549949248,-0.01,394359.310,5
1549949252,0.01,394360.310,5
1549949662,-0.01,394376.000,5
1549949664,-0.01,394364.000,5
1549949728,0.01,394363.050,5
1549949735,-0.01,394663.403,5
1549949810,0.01,394630.990,5
1549949814,-0.007,394681.120,5
1549949938,0.01,394632.320,5
1549949959,-0.003,394683.820,5
1549949961,-0.01,394364.160,5
1549950052,0.01,394342.880,5
1549950075,0.01,394345.080,5
1549950163,-0.00003277,394419.940,5
1549950163,-0.00996723,394419.940,5
1549950164,0.01,394296.000,5
1549950167,-0.01,394235.720,5
1549950307,-0.01,394236.200,5
1549950310,0.01,394220.020,5
