Date	Min NOP	Max NOP	Pnl	Balance
1549948292	0	0.00448242	6.998511000000	119749.1069623874753
1549948294	0	0.00834552	6.998511000000	119749.1069623874753
1549948320	0	0	4.736875080000	119746.8453264674753
1549948380	0	0	4.169379720000	119746.2778311074753
1549948440	0	0	5.361537252000	119747.4699886394753
1549948500	0	0	6.572889480000	119748.6813408674753
1549948560	0	0	6.423087396000	119748.5315387834753
1549948620	0	0	6.639570184800	119748.7480215722753
1549948680	0	0	6.472743240000	119748.5811946274753
1549948860	0	0	8.181989191200	119750.2904405786753
1549948920	0	0	8.567552215200	119750.6760036026753
1549948932	0	0.01000000	6.998511000000	119749.1069623874753
1549948940	0	0	6.908511000000	119749.1969623874753
1549948961	0	0.01000000	6.894511000000	119749.1829623874753
1549948970	0	0.01000000	7.234311000000	119749.5227623874753
1549948976	0	0.01000000	6.913811000000	119749.8432623874753
1549948978	0	0.01000000	7.946981000000	119750.8764323874753
1549948980	0	0	7.946981000000	119750.8764323874753
1549949018	0	0.00900000	7.946981000000	119750.8764323874753
1549949019	0	0.01000000	7.796501000000	119750.7259523874753
1549949100	0	0	9.243601000000	119752.1730523874753
1549949138	0	0.01000000	7.876501000000	119750.8059523874753
1549949146	0	0	8.138701000000	119750.5437523874753
1549949147	0	0.01000000	8.138701000000	119750.5437523874753
1549949153	0	0	8.653401000000	119751.0584523874753
1549949177	0	0.01000000	8.653401000000	119751.0584523874753
1549949224	0	0	8.840701000000	119751.2457523874753
1549949225	0	0.01000000	8.840701000000	119751.2457523874753
1549949248	0	0	8.703801000000	119751.1088523874753
1549949252	0	0.01000000	8.703801000000	119751.1088523874753
1549949280	0	0	12.560701000000	119754.9657523874753
1549949340	0	0	11.2035012000000	119753.6085525874753
1549949400	0	0	11.800701000000	119754.2057523874753
1549949460	0	0	12.800701000000	119755.2057523874753
1549949520	0	0	12.138101000000	119754.5431523874753
1549949580	0	0	11.790401000000	119754.1954523874753
1549949640	0	0	12.640701000000	119755.0457523874753
1549949662	0	0	8.860701000000	119751.2657523874753
1549949664	0	0.01000000	8.860701000000	119751.2657523874753
1549949728	0	0	8.870201000000	119751.2562523874753
1549949735	0	0.01000000	8.870201000000	119751.2562523874753
1549949760	0	0	9.056371000000	119751.4424223874753
1549949810	0	0	9.194331000000	119750.9321223874753
1549949814	0	0.00700000	9.194331000000	119750.9321223874753
1549949820	0	0	8.808491000000	119750.5462823874753
1549949880	0	0	8.395351000000	119750.1331423874753
1549949938	0	0.00300000	9.535931000000	119750.5905223874753
1549949940	0	0	9.758231000000	119750.8128223874753
1549949959	0	0	9.690431000000	119750.7450223874753
1549949961	0	0.01000000	9.690431000000	119750.7450223874753
1549950000	0	0	13.035731000000	119754.0903223874753
1549950052	0	0	9.903231000000	119750.5322223874753
1549950075	0	0.01000000	9.903231000000	119750.5322223874753
1549950120	0	0	12.321931000000	119752.9509223874753
1549950163	0	0.00996723	10.651831000000000000	119751.2808223874753
1549950164	0	0.01000000	10.651831000000000000	119751.2808223874753
1549950167	0	0	10.049031000000000000	119750.6780223874753
1549950307	0	0.01000000	10.049031000000000000	119750.6780223874753
1549950310	0	0	10.210831000000000000	119750.5162223874753
