Date	Min NOP	Max NOP	Pnl	Balance
1532347748	0	0	0	119748.1820857874753
1549944751	0	0.01	0	119748.1820857874753
1549944754	0	0	0.52580	119748.7078857874753
1549944761	0	0.0068	0.52580	119748.7078857874753
1549944774	0	0.0032	0.7905172	119748.4431685874753
1549944780	0	0.0022	0.92152200000	119748.5741733874753
1549944783	0	0.0100	0.92152200000	119748.5741733874753
1549944840	0	0	-0.68907800000	119746.9635733874753
1549944960	0	0	-3.39217750000	119744.2604738874753
1549944981	0	0	0.79152200000	119748.7041733874753
1549944988	0	0.0090	0.79152200000	119748.7041733874753
1549945020	0	0	-2.59608079000	119745.3165705974753
1549945080	0	0	-1.89299800000	119746.0196533874753
1549945140	0	0	-1.82846800000	119746.0841833874753
1549945260	0	0	-0.92711800000	119746.9855333874753
1549945320	0	0	-0.53381800000	119747.3788333874753
1549945353	0	0.0100	0.79152200000	119748.7183033874753
1549945354	0	0	0.77509200000	119748.7206033874753
1549945358	0	0.0100	0.77509200000	119748.7206033874753
1549945380	0	0	1.40609200000	119749.3516033874753
1549945386	0	0	1.22409200000	119748.2716033874753
1549945392	0	0.0100	1.22409200000	119748.2716033874753
1549945440	0	0	0.66229200000	119747.7098033874753
1549945500	0	0	0.86239200000	119747.9099033874753
1549945534	0	0	1.03859200000	119748.0861033874753
1549945554	0	0.0100	1.03859200000	119748.0861033874753
1549945560	0	0	-1.01140800000	119746.0361033874753
1549945576	0	0	1.72119200000	119748.7687033874753
1549945593	0	0.0100	1.72119200000	119748.7687033874753
1549945597	0	0	1.06049200000	119749.4294033874753
1549945603	0	0.0100	1.06049200000	119749.4294033874753
1549945613	0	0	1.59849200000	119748.8914033874753
1549945639	0	0.0100	1.59849200000	119748.8914033874753
1549945680	0	0	-1.43880800000	119745.8541033874753
1549945733	0	0.0100	1.47559200000	119749.0143033874753
1549945740	0	0	-1.46419800000	119746.0745133874753
1549945800	0	0	-0.59929800000	119746.9394133874753
1549945835	0	0	2.09778200000	119748.3921133874753
1549945846	0	0.0100	2.09778200000	119748.3921133874753
1549945980	0	0	-1.02226800000	119745.2720633874753
1549946040	0	0	-1.01571790000	119745.2786134874753
1549946100	0	0	-0.97131800000	119745.3230133874753
1549946160	0	0	-0.84191800000	119745.4524133874753
1549946220	0	0	-1.54701800000	119744.7473133874753
1549946280	0	0	-1.08621800000	119745.2081133874753
1549946340	0	0	-0.92761800000	119745.3667133874753
1549946400	0	0	-1.18511800000	119745.1092133874753
1549946453	0	0	2.42088200000	119748.7152133874753
1549946455	0	0.0100	2.42088200000	119748.7152133874753
1549946457	0	0	2.38088200000	119748.7552133874753
1549946539	0	0.0100	2.38088200000	119748.7552133874753
1549946541	0	0	3.48108200000	119749.8554133874753
1549946570	0	0.0100	3.48108200000	119749.8554133874753
1549946572	0	0	3.77288200000	119750.1472133874753
1549946604	0	0.0100	3.77288200000	119750.1472133874753
1549946606	0	0	4.05823200000	119749.8618633874753
1549946747	0	0.0100	4.05823200000	119749.8618633874753
1549946773	0	0	4.63603200000	119750.4396633874753
1549946950	0	0.0100	4.63603200000	119750.4396633874753
1549946954	0	0.0100	5.19992200000	119751.0035533874753
1549946955	0	0	5.37212200000	119750.8313533874753
1549946957	0	0.0100	5.37212200000	119750.8313533874753
1549946958	0	0	5.94842200000	119751.4076533874753
1549946975	0	0.0100	5.94842200000	119751.4076533874753
1549946976	0	0	5.93842200000	119751.4176533874753
1549946985	0	0.0100	5.93842200000	119751.4176533874753
1549947000	0	0	9.18752200000	119754.6667533874753
1549947002	0	0.0100	5.32742200000	119750.8066533874753
1549947060	0	0	5.82573200000	119751.3049633874753
1549947120	0	0	7.00443200000	119752.4836633874753
1549947180	0	0	5.76303200000	119751.2422633874753
1549947240	0	0	7.30183200000	119752.7810633874753
1549947420	0	0	7.49183200000	119752.9710633874753
1549947480	0	0	7.59173200000	119753.0709633874753
1549947586	0	0.0050	5.467767000000	119750.5259633874753
1549947590	0	0	5.608112000000	119750.5259633874753
1549947676	0	0.0100	5.569812000000	119750.5642633874753
1549947780	0	0	5.481812000000	119750.4762633874753
1549947840	0	0	5.119212000000	119750.1136633874753
1549947900	0	0	5.893412000000	119750.2406633874753
1549947908	0	0.0089	5.893412000000	119750.2406633874753
1549947960	0	0	4.034825000000	119748.3820763874753
1549948020	0	0	4.084487000000	119748.4317383874753
1549948080	0	0	3.901414000000	119748.2486653874753
1549948087	0	0.0100	5.376411000000	119749.7236623874753
1549948088	0	0	5.879111000000	119750.2263623874753
1549948101	0	0.0100	5.879111000000	119750.2263623874753
1549948103	0	0	6.998511000000	119749.1069623874753
