epoch	product_id	open_px	high_px	low_px	close_px	cost_basis	unit_ccy	nop	pnl_ccy	open_pnl	high_pnl	low_pnl	close_pnl
1549944774									JPY	0	0.7905172	0	0.7905172
1549944774	5	394278.420	394412.929	394278.420	394374.000	394374.000	BTC	0.0032	JPY	0.00000	0.7905172	0.00000	0.7905172
1549944783									JPY	0.7905172	0.9215220	0.3633812	0.9215220
1549944783	5	394240.52	394581.000	394240.52	394581.000	394581.000	BTC	-0.0100	JPY	0.3633812	0.9215220	0.3633812	0.9215220
1549944840									JPY	0.9215220	2.5321220	0.9215220	2.5321220
1549944840	5	394419.94	394419.94	394419.94	394419.94	394581.000	BTC	-0.0100	JPY	2.5321220	2.5321220	2.5321220	2.5321220
1549944988									JPY	2.5321220	5.235221500	0.791522000	0.791522000
1549944988	5	394149.63005	394681.260	394149.63005	394681.260	394681.260	BTC	-0.0090	JPY	5.235221500	5.235221500	0.7915220	0.7915220
1549945020									JPY	0.791522000	4.179124790	0.791522000	4.179124790
1549945020	5	394304.85969	394304.85969	394304.85969	394304.85969	394681.260	BTC	-0.0090	JPY	4.179124790	4.179124790	4.179124790	4.179124790
1549945080									JPY	4.179124790	4.179124790	3.476042000	3.476042000
1549945080	5	394382.98	394382.98	394382.98	394382.98	394681.260	BTC	-0.0090	JPY	3.4760420	3.4760420	3.4760420	3.4760420
1549945140									JPY	3.476042000	3.476042000	3.411512000	3.411512000
1549945140	5	394390.15	394390.15	394390.15	394390.15	394681.260	BTC	-0.0090	JPY	3.4115120	3.4115120	3.4115120	3.4115120
1549945260									JPY	3.411512000	3.411512000	2.510162000	2.510162000
1549945260	5	394490.3	394490.3	394490.3	394490.3	394681.260	BTC	-0.0090	JPY	2.5101620	2.5101620	2.5101620	2.5101620
1549945358									JPY	2.510162000	2.510162000	0.775092000	0.775092000
1549945358	5	394534	394683.060	394534	394545.900	394545.900	BTC	-0.0100	JPY	2.1168620	2.1168620	0.7750920	0.7750920
1549945392									JPY	0.775092000	1.224092000	0.144092000	1.224092000
1549945392	5	394609	394683.170	394501.000	394683.170	394683.170	BTC	0.0100	JPY	0.1440920	1.2240920	0.1440920	1.2240920
1549945440									JPY	1.224092000	1.224092000	0.662292000	0.662292000
1549945440	5	394626.99	394626.99	394626.99	394626.99	394683.170	BTC	0.0100	JPY	0.6622920	0.6622920	0.6622920	0.6622920
1549945554									JPY	0.662292000	1.038592000	0.662292000	1.038592000
1549945554	5	394647	394745.000	394647	394745.000	394745.000	BTC	0.0100	JPY	0.8623920	1.0385920	0.8623920	1.0385920
1549945613									JPY	1.038592000	1.721192000	-1.011408000	1.598492000
1549945613	5	394540	394813.260	394540	394737.000	NaN	BTC	0.0000	JPY	-1.0114080	1.7211920	-1.0114080	1.5984920
1549945639									JPY	1.598492000	1.598492000	1.598492000	1.598492000
1549945639	5	394705.000	394705.000	394705.000	394705.000	394705.000	BTC	-0.0100	JPY	1.5984920	1.5984920	1.5984920	1.5984920
1549945733									JPY	1.598492000	4.635792000	1.475592000	1.475592000
1549945733	5	394401.27	394738.979	394401.27	394738.979	394738.979	BTC	-0.0100	JPY	4.6357920	4.6357920	1.4755920	1.4755920
1549945740									JPY	1.475592000	4.415382000	1.475592000	4.415382000
1549945740	5	394445	394445	394445	394445	394738.979	BTC	-0.0100	JPY	4.4153820	4.4153820	4.4153820	4.4153820
1549945846									JPY	4.415382000	4.415382000	2.097782000	2.097782000
1549945846	5	394531.49	394692.910	394531.49	394692.910	394692.910	BTC	0.0100	JPY	3.5504820	3.5504820	2.0977820	2.0977820
1549945980									JPY	2.097782000	2.097782000	-1.022268000	-1.022268000
1549945980	5	394380.905	394380.905	394380.905	394380.905	394692.910	BTC	0.0100	JPY	-1.0222680	-1.0222680	-1.0222680	-1.0222680
1549946040									JPY	-1.022268000	-1.015717900	-1.022268000	-1.015717900
1549946040	5	394381.56001	394381.56001	394381.56001	394381.56001	394692.910	BTC	0.0100	JPY	-1.015717900	-1.015717900	-1.015717900	-1.015717900
